ID              SYMBOL       
ENSG00000163050 ADCK3        
ENSG00000163291 PAQR3        
ENSG00000163344 PMVK         
ENSG00000163349 HIPK1        
ENSG00000163482 STK36        
ENSG00000163491 NEK10        
ENSG00000163512 AZI2         
ENSG00000163545 NUAK2        
ENSG00000163558 PRKCI        
ENSG00000163673 DCLK3        
ENSG00000163785 RYK          
ENSG00000163788 SNRK         
ENSG00000163814 CDCP1        
ENSG00000163888 CAMK2N2      
ENSG00000163932 PRKCD        
ENSG00000164076 CAMKV        
ENSG00000164078 MST1R        
ENSG00000164543 STK17A       
ENSG00000164610 RP9          
ENSG00000164715 LMTK2        
ENSG00000164776 PHKG1        
ENSG00000164885 CDK5         
ENSG00000164896 FASTK        
ENSG00000164924 YWHAZ        
ENSG00000164949 GEM          
ENSG00000165025 SYK          
ENSG00000165059 PRKACG       
ENSG00000165113 GKAP1        
ENSG00000165238 WNK2         
ENSG00000165304 MELK         
ENSG00000165695 AK8          
ENSG00000165731 RET          
ENSG00000165752 STK32C       
ENSG00000165912 PACSIN3      
ENSG00000165973 NELL1        
ENSG00000166130 IKBIP        
ENSG00000166165 CKB          
ENSG00000166333 ILK          
ENSG00000166452 AKIP1        
ENSG00000166483 WEE1         
ENSG00000166484 MAPK7        
ENSG00000166501 PRKCB        
ENSG00000166548 TK2          
ENSG00000166851 PLK1         
ENSG00000166908 PIP4K2C      
ENSG00000166913 YWHAB        
ENSG00000167103 PIP5KL1      
ENSG00000167258 CDK12        
ENSG00000167363 FN3K         
ENSG00000167524 SGK494       
ENSG00000167601 AXL          
ENSG00000167641 PPP1R14A     
ENSG00000167657 DAPK3        
ENSG00000167797 CDK2AP2      
ENSG00000167900 TK1          
ENSG00000168038 ULK4         
ENSG00000168067 MAP4K2       
ENSG00000168078 PBK          
ENSG00000168175 MAPK1IP1L    
ENSG00000168237 GLYCTK       
ENSG00000168297 PXK          
ENSG00000168393 DTYMK        
ENSG00000168404 MLKL         
ENSG00000168734 PKIG         
ENSG00000168781 PPIP5K1      
ENSG00000169032 MAP2K1       
ENSG00000169071 ROR2         
ENSG00000169118 CSNK1G1      
ENSG00000169242 EFNA1        
ENSG00000169246 NPIPL3       
ENSG00000169302 STK32A       
ENSG00000169398 PTK2         
ENSG00000169567 HINT1        
